main_sound,level,hanja,meaning
경,특급Ⅱ,絅,당길
경,특급Ⅱ,擎,받들
경,특급Ⅱ,俓,지름길徑
경,특급Ⅱ,坰,들野
경,특급Ⅱ,暻,밝을
경,특급Ⅱ,璥,옥이름
경,특급,罄,다할
경,특급,睘,놀라서볼
경,특급,鶊,꾀꼬리
경,특급,牼,소정강이뼈
경,특급,冂,멀
경,특급,黥,자자(刺字)할
경,특급,褧,홑옷
경,특급,熲,빛날
경,특급,焭,외로울
경,특급,煢,외로울
경,특급,檠,등잔걸이
경,특급,惸,근심할
경,특급,冏,빛날
경,특급,駉,살찌고큰
계,6급Ⅱ,界,지경
계,6급Ⅱ,計,셀
계,4급Ⅱ,係,맬
계,4급,階,섬돌
계,4급,鷄,닭
계,4급,季,계절
계,4급,系,이어맬
계,4급,繼,이을
계,4급,戒,경계할
계,3급Ⅱ,契,맺을
계,3급Ⅱ,桂,계수나무
계,3급Ⅱ,啓,열
계,3급Ⅱ,溪,시내
계,3급Ⅱ,械,기계
계,3급,繫,맬
계,3급,癸,북방
계,1급,悸,두근거릴
계,특급Ⅱ,屆,이를至
계,특급Ⅱ,堺,지경界
계,특급Ⅱ,磎,시내
계,특급Ⅱ,稽,머무를
계,특급Ⅱ,谿,시내
계,특급Ⅱ,棨,중계壁柱
계,특급Ⅱ,誡,경계할
계,특급,笄,비녀
계,특급,雞,닭
계,특급,烓,화덕
고,6급Ⅱ,高,높을
고,6급,古,예
고,6급,苦,쓸味覺
고,5급Ⅱ,告,고할
고,5급,考,생각할
고,5급,固,굳을
고,4급Ⅱ,故,연고
고,4급,孤,외로울
고,4급,庫,곳집
고,3급Ⅱ,姑,시어미
고,3급Ⅱ,稿,원고
고,3급Ⅱ,鼓,북
고,3급,顧,돌아볼
고,3급,枯,마를
고,2급,雇,품팔
고,2급,皐,언덕
고,1급,敲,두드릴
고,1급,辜,허물
고,1급,袴,바지
고,1급,拷,칠
고,1급,叩,두드릴
고,1급,股,넓적다리
고,1급,呱,울
고,1급,膏,기름
고,1급,痼,고질
